,Unnamed: 0,avgRating,listingBathroomLabel,bathrooms,listingBedLabel,bedrooms,beds,businessHostLabel,city,listingGuestLabel,id,isAutoTranslated,isNewListing,isSuperhost,relaxedFilterLabels,localizedCityName,localizedDistanceText,locationTitle,locationContext,listingName,listingObjType,neighborhood,previewTags,publicAddress,reviewsCount,roomType,roomTypeCategory,roomTypeId,spaceType,starRating,title,avgRatingLocalized,accessibilityLabel,price,qualifier,adults,children,infants,pets
0,0,4.95,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,1143371712266502884,False,False,True,,Calgary,,,,Cute Inner City Haven with Country-like Serenity,REGULAR,,[],"Calgary, AB, Canada",20,Entire home/apt,entire_home,,Home,5.0,Home in Northeast Calgary,4.95 (20),$90 CAD per night,$90 CAD,night,1,0,0,0
1,1,4.84,1 bath,1.0,2 beds,0,2,,Calgary,3 guests,36314346,False,False,True,,Calgary,,,,Cozy Suite In The Heart Of Bridgeland - BL246108,REGULAR,,[],"Calgary, AB, Canada",268,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Northeast Calgary,4.84 (268),$62 CAD per night,$62 CAD,night,1,0,0,0
2,2,4.94,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,671115779168748813,False,False,True,,Calgary,,,,Modern suite overlooking downtown,REGULAR,,[],"Calgary, AB, Canada",69,Entire home/apt,entire_home,,Guest suite,5.0,Guest suite in Northeast Calgary,4.94 (69),$90 CAD per night,$90 CAD,night,1,0,0,0
3,3,4.95,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,742747938616966708,False,False,True,,Calgary,,,,Charming suite minutes to DT,REGULAR,,[],"Calgary, AB, Canada",20,Entire home/apt,entire_home,,Loft,5.0,Loft in Northeast Calgary,4.95 (20),$150 CAD per night,$150 CAD,night,1,0,0,0
4,4,,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,1325634411764993748,False,True,True,,Calgary,,,,Chic Studio Minutes to Downtown,REGULAR,,[],"Calgary, AB, Canada",0,Entire home/apt,entire_home,,Apartment,,Apartment in Southeast Calgary,New,$63 CAD per night,$63 CAD,night,1,0,0,0
5,5,4.93,1 bath,1.0,1 bed,1,1,,Calgary,3 guests,557341007928750082,False,False,True,,Calgary,,,,"Mid Century Zen Suite. 1 BR. Near DT, C-train.",REGULAR,,[],"Calgary, AB, Canada",136,Entire home/apt,entire_home,,Home,5.0,Home in Northeast Calgary,4.93 (136),$80 CAD per night,$80 CAD,night,1,0,0,0
6,6,4.87,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,47195089,False,False,True,,Calgary,,,,Bridgeland Inner City Suite,REGULAR,,[],"Calgary, AB, Canada",53,Entire home/apt,entire_home,,Guest suite,5.0,Guest suite in Northeast Calgary,4.87 (53),$90 CAD per night,$90 CAD,night,1,0,0,0
7,7,4.97,2 baths,2.0,1 bed,1,1,,Calgary,4 guests,873415992299458215,False,False,True,,Calgary,,,,Trendy Condo Near DT & River w Underground Parking,REGULAR,,[],"Calgary, AB, Canada",94,Entire home/apt,entire_home,,Condo,5.0,Condo in Southeast Calgary,4.97 (94),$99 CAD per night,$99 CAD,night,1,0,0,0
8,8,4.98,1 bath,1.0,1 bed,1,1,,Calgary,3 guests,1017444351066240000,False,False,True,,Calgary,,,,Birdhouse: 1 bd Apt in E Village,REGULAR,,[],"Calgary, AB, Canada",40,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Downtown Calgary,4.98 (40),$82 CAD per night,$82 CAD,night,1,0,0,0
9,9,4.98,1 bath,1.0,1 bed,0,1,,Calgary,2 guests,881954586936903353,False,False,True,,Calgary,,,,Tower View East Village Studio | Free Parking,REGULAR,,[],"Calgary, AB, Canada",90,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.98 (90),$89 CAD per night,$89 CAD,night,1,0,0,0
10,10,4.93,1 bath,1.0,2 beds,1,2,,Calgary,4 guests,855351187946523377,False,False,True,,Calgary,,,,Steps from downtown Calgary,REGULAR,,[],"Calgary, AB, Canada",184,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Northwest Calgary,4.93 (184),$100 CAD per night,$100 CAD,night,1,0,0,0
11,11,5.0,1 bath,1.0,2 beds,1,2,,Calgary,3 guests,1282920764238135389,False,False,True,,Calgary,,,,Cityscape: Your Urban Retreat,REGULAR,,[],"Calgary, AB, Canada",14,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Northwest Calgary,5.0 (14),$103 CAD per night,$103 CAD,night,1,0,0,0
12,12,5.0,2 baths,2.0,3 beds,2,3,,Calgary,6 guests,1244010569264740702,False,False,True,,Calgary,,,,Upscale Modern Central Unit DT Fast WiFi UG parkin,REGULAR,,[],"Calgary, AB, Canada",3,Entire home/apt,entire_home,,Condo,5.0,Condo in Northeast Calgary,5.0 (3),$122 CAD per night,$122 CAD,night,1,0,0,0
13,13,5.0,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,900079338487869594,False,False,False,,Calgary,,,,Modern Downtown Condo in Historic Bridgeland!,REGULAR,,[],"Calgary, AB, Canada",5,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Northwest Calgary,5.0 (5),$90 CAD per night,$90 CAD,night,1,0,0,0
14,14,4.92,1 bath,1.0,3 beds,2,3,,Calgary,6 guests,1290001804888495296,False,False,True,,Calgary,,,,"2BR condo DT near Saddledome, UG parking, AC",REGULAR,,[],"Calgary, AB, Canada",13,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.92 (13),$100 CAD per night,$100 CAD,night,1,0,0,0
15,15,4.96,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,805942041217370205,False,False,True,,Calgary,,,,The Fort at East Village,REGULAR,,[],"Calgary, AB, Canada",184,Entire home/apt,entire_home,,Apartment,5.0,Apartment in Downtown Calgary,4.96 (184),$100 CAD per night,$100 CAD,night,1,0,0,0
16,16,4.9,1 bath,1.0,3 beds,1,3,,Calgary,4 guests,35045130,False,False,True,,Calgary,,,,Modern Condo W/ Saddledome + Bow River View,REGULAR,,[],"Calgary, AB, Canada",678,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.9 (678),$71 CAD per night,$71 CAD,night,1,0,0,0
17,17,4.76,1 bath,1.0,1 bed,0,1,,Calgary,2 guests,1251776682737775928,False,False,True,,Calgary,,,,Zen Mood Sudio - City skyline views,REGULAR,,[],"Calgary, AB, Canada",21,Entire home/apt,entire_home,,Condo,5.0,Condo in Downtown Calgary,4.76 (21),$98 CAD per night,$98 CAD,night,1,0,0,0
18,18,4.7,1 bath,1.0,1 bed,1,1,,Calgary,2 guests,843713620867348482,False,False,False,,Calgary,,,,Vibrant location cozy unit,REGULAR,,[],"Calgary, AB, Canada",30,Entire home/apt,entire_home,,Apartment,4.5,Apartment in Northwest Calgary,4.7 (30),$89 CAD per night,$89 CAD,night,1,0,0,0
19,19,4.96,1 bath,1.0,1 bed,0,1,,Calgary,2 guests,731402138915240689,False,False,True,,Calgary,,,,Charming walkable Apartment,REGULAR,,[],"Calgary, AB, Canada",67,Entire home/apt,entire_home,,Guest suite,5.0,Guest suite in Southeast Calgary,4.96 (67),$80 CAD per night,$80 CAD,night,1,0,0,0
